"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NEPSE","2022-10-13","1866.54","1878.16","1860.85","1870.63","0.22 %","829,646,920.43","-"
"NEPSE","2022-10-16","1871.09","1872.52","1852.74","1860.94","-0.52 %","803,525,533.18","-"
"NEPSE","2022-10-17","1861.55","1864.74","1854.24","1858.33","-0.14 %","515,818,989.83","-"
"NEPSE","2022-10-19","1858.03","1861.93","1840.5","1845.51","-0.69 %","643,607,975.26","-"
"NEPSE","2022-10-20","1845.38","1849.86","1834.31","1844.14","-0.07 %","507,689,560.53","-"
"NEPSE","2022-10-23","1844.5","1858.57","1843.8","1858.49","0.78 %","516,803,483.60","-"
"NEPSE","2022-10-31","1860.39","1874.88","1856.93","1874.87","0.88 %","697,317,611.31","-"
"NEPSE","2022-11-01","1876.55","1931.54","1871.77","1930.99","2.99 %","1,290,664,641.80","-"
"NEPSE","2022-11-02","1933.24","1956.61","1916.32","1938.3","0.38 %","1,467,914,875.04","-"
"NEPSE","2022-11-03","1939.5","1940.61","1918.84","1922.16","-0.83 %","898,907,829.98","-"
"NEPSE","2022-11-06","1924.2","1965.7","1919.24","1965.36","2.25 %","1,548,032,561.21","-"
"NEPSE","2022-11-07","1968.07","1987.32","1955.28","1958.94","-0.33 %","2,109,163,383.69","-"
"NEPSE","2022-11-08","1959.22","1966.41","1948.35","1956.36","-0.13 %","1,053,137,466.97","-"
"NEPSE","2022-11-09","1957.76","1967.8","1914.27","1917.22","-2.00 %","1,407,395,436.87","-"
"NEPSE","2022-11-10","1919.1","1929.01","1889.64","1893.7","-1.23 %","1,119,461,411.40","-"
"NEPSE","2022-11-13","1892.94","1901.31","1879.58","1883.16","-0.56 %","774,911,706.65","-"
"NEPSE","2022-11-14","1883.58","1904.5","1879.36","1904.45","1.13 %","946,089,521.22","-"
"NEPSE","2022-11-15","1905.21","1919.8","1895.89","1897.86","-0.35 %","1,023,609,960.42","-"
"NEPSE","2022-11-16","1898.7","1914.38","1898.7","1911.26","0.71 %","859,468,158.30","-"
"NEPSE","2022-11-17","1912.24","1939.59","1912.04","1936.83","1.34 %","1,715,419,286.42","-"
"NEPSE","2022-11-22","1938.47","1961.28","1926.39","1929.7","-0.37 %","1,352,885,779.65","-"
"NEPSE","2022-11-23","1931.01","1933.93","1913.09","1921.99","-0.40 %","1,022,293,552.83","-"
"NEPSE","2022-11-24","1922.72","1933.55","1916.35","1933.55","0.60 %","925,174,380.45","-"
"NEPSE","2022-11-27","1934.45","1965.98","1934.41","1965.98","1.68 %","2,025,489,052.14","-"
"NEPSE","2022-11-28","1968.93","1980.26","1947.37","1950.37","-0.79 %","1,494,394,613.66","-"
"NEPSE","2022-11-29","1951.31","1957.88","1933.64","1953.35","0.15 %","957,060,225.96","-"
"NEPSE","2022-11-30","1953.07","1955.6","1942.95","1949.85","-0.18 %","842,695,301.99","-"
"NEPSE","2022-12-01","1949.48","1969.02","1941.58","1961.06","0.58 %","1,322,972,185.65","-"
"NEPSE","2022-12-04","1961.07","1973.55","1957.18","1963.22","0.11 %","1,561,702,992.01","-"
"NEPSE","2022-12-05","1964.79","1965.77","1935.65","1938.76","-1.25 %","1,670,455,034.63","-"
"NEPSE","2022-12-06","1941.08","1944.11","1922.13","1933.88","-0.25 %","965,210,899.14","-"
"NEPSE","2022-12-07","1935.08","1936.39","1916.19","1917.28","-0.86 %","1,654,662,550.99","-"
"NEPSE","2022-12-11","1916.04","1918.51","1883.09","1885.31","-1.67 %","1,103,404,045.08","-"
"NEPSE","2022-12-12","1884.22","1902.42","1868.65","1902.27","0.90 %","1,366,010,464.02","-"
"NEPSE","2022-12-13","1900.23","1904.75","1888.82","1899.7","-0.13 %","777,089,165.15","-"
"NEPSE","2022-12-14","1900.61","1906.04","1893.01","1897.08","-0.14 %","727,877,897.36","-"
"NEPSE","2022-12-15","1897.34","1899","1880.16","1882.6","-0.76 %","1,192,616,187.82","-"
"NEPSE","2022-12-18","1883.65","1883.82","1850.96","1855.06","-1.46 %","1,157,155,099.09","-"
"NEPSE","2022-12-19","1855.19","1865.18","1849.19","1858.89","0.21 %","886,098,568.38","-"
"NEPSE","2022-12-20","1859.72","1881.21","1858.57","1873.11","0.76 %","930,839,901.14","-"
"NEPSE","2022-12-21","1874.85","1883.09","1864.7","1867.22","-0.31 %","863,816,561.06","-"
"NEPSE","2022-12-22","1864.41","1867.21","1850.58","1867.21","0.00 %","1,119,797,921.31","-"
"NEPSE","2022-12-26","1868.18","1924.09","1866.37","1924.09","3.05 %","2,097,049,941.35","-"
"NEPSE","2022-12-27","1928.81","1999.01","1928.81","1983.95","3.11 %","3,884,396,997.98","-"
"NEPSE","2022-12-28","1991.81","1994.33","1961.57","1972.15","-0.60 %","2,153,547,207.91","-"
"NEPSE","2022-12-29","1973.18","2029.11","1962.42","2029.03","2.88 %","2,860,345,781.68","-"
